Date,Open,High,Low,Close,Volume,Symbol
2024-01-12,95.37747955322266,98.8409423828125,83.77799224853516,85.56358337402344,226618329,BSV-USD
2024-01-13,85.54417419433594,86.32005310058594,82.77790069580078,85.25115966796875,111496441,BSV-USD
2024-01-14,85.2330551147461,88.78266143798828,82.391357421875,82.40174102783203,148654752,BSV-USD
2024-01-15,82.35774230957031,87.03361511230469,82.35774230957031,85.06172180175781,109663555,BSV-USD
2024-01-16,85.03294372558594,85.33464050292969,82.46345520019531,83.32813262939453,92754114,BSV-USD
2024-01-17,83.35796356201172,83.41741943359375,79.87162780761719,80.29330444335938,76557147,BSV-USD
2024-01-18,80.29817199707031,80.60677337646484,75.59899139404297,75.83367156982422,98324529,BSV-USD
2024-01-19,75.83367156982422,75.9730224609375,69.9434585571289,73.76439666748047,93521829,BSV-USD
2024-01-20,73.76439666748047,73.76439666748047,71.09689331054688,72.4929428100586,60557624,BSV-USD
2024-01-21,72.49696350097656,76.99272918701172,72.43628692626953,75.34739685058594,114952269,BSV-USD
2024-01-22,75.40852355957031,75.58069610595703,68.94833374023438,69.1073226928711,75605073,BSV-USD
2024-01-23,69.1002426147461,71.93036651611328,65.95474243164062,71.89798736572266,115531721,BSV-USD
2024-01-24,71.91329193115234,72.63838958740234,70.30443572998047,71.28736114501953,80654896,BSV-USD
2024-01-25,71.28736114501953,71.31645965576172,67.55941009521484,67.85768127441406,72812188,BSV-USD
2024-01-26,67.85477447509766,70.93047332763672,66.89066314697266,70.91593170166016,85710913,BSV-USD
2024-01-27,70.91770935058594,74.1284408569336,70.91770935058594,72.54486083984375,96776696,BSV-USD
2024-01-28,72.5617446899414,73.7857666015625,71.10704803466797,71.47025299072266,72763358,BSV-USD
2024-01-29,71.46534729003906,73.40509033203125,70.6595687866211,73.08003234863281,66557759,BSV-USD
2024-01-30,73.08003234863281,74.32102966308594,71.06610107421875,71.18571472167969,82696260,BSV-USD
2024-01-31,71.19691467285156,71.25361633300781,68.5184326171875,69.01284790039062,64578506,BSV-USD
2024-02-01,69.01261138916016,70.33431243896484,67.6837387084961,70.04957580566406,61994425,BSV-USD
2024-02-02,70.05247497558594,71.04682159423828,69.44268798828125,70.92841339111328,54792101,BSV-USD
2024-02-03,70.9246826171875,76.990966796875,70.9246826171875,73.41654968261719,114695983,BSV-USD
2024-02-04,73.4291763305664,73.45339965820312,70.83387756347656,70.89059448242188,52138666,BSV-USD
2024-02-05,70.90790557861328,72.97769927978516,70.11709594726562,70.61819458007812,60080691,BSV-USD
2024-02-06,70.61835479736328,73.38054656982422,70.61835479736328,71.83049011230469,69738994,BSV-USD
2024-02-07,71.8293228149414,73.7613754272461,70.86775970458984,73.7613754272461,60596420,BSV-USD
2024-02-08,73.77413177490234,77.09092712402344,73.44721984863281,76.98930358886719,88560943,BSV-USD
2024-02-09,76.98506164550781,80.54668426513672,76.45613861083984,79.2710952758789,109856100,BSV-USD
2024-02-10,79.28575897216797,79.38217163085938,76.35792541503906,77.7642822265625,60709450,BSV-USD
2024-02-11,77.7744140625,81.36486053466797,77.10858917236328,80.55735778808594,91999811,BSV-USD
2024-02-12,80.55741119384766,82.33854675292969,77.948974609375,82.18934631347656,82075246,BSV-USD
2024-02-13,82.18445587158203,83.34772491455078,78.68890380859375,80.56302642822266,85847952,BSV-USD
2024-02-14,80.55862426757812,82.6536636352539,79.36263275146484,82.14543914794922,93416553,BSV-USD
2024-02-15,82.14761352539062,82.91165161132812,79.57170867919922,80.33563232421875,104982302,BSV-USD
2024-02-16,80.34606170654297,80.38575744628906,77.55805969238281,78.82829284667969,78204300,BSV-USD
2024-02-17,78.8333969116211,78.88232421875,75.37251281738281,77.0641098022461,66763916,BSV-USD
2024-02-18,77.06763458251953,78.04409790039062,76.10882568359375,77.67302703857422,60218446,BSV-USD
2024-02-19,77.68212890625,78.8118896484375,77.26351165771484,78.37957763671875,62412640,BSV-USD
2024-02-20,78.37957763671875,78.69427490234375,74.08303833007812,76.57369995117188,75808054,BSV-USD
2024-02-21,76.57172393798828,76.58019256591797,72.74882507324219,74.8879623413086,67150601,BSV-USD
2024-02-22,74.8873062133789,76.89274597167969,74.57987213134766,75.48877716064453,66949273,BSV-USD
2024-02-23,75.48580169677734,75.78008270263672,73.27157592773438,73.6786880493164,58994529,BSV-USD
2024-02-24,73.6786880493164,75.71200561523438,73.14788818359375,75.65506744384766,49305038,BSV-USD
2024-02-25,75.65506744384766,75.7654800415039,74.55689239501953,75.64750671386719,49295338,BSV-USD
2024-02-26,75.64707946777344,80.40469360351562,73.31243896484375,79.17435455322266,86184395,BSV-USD
2024-02-27,79.17135620117188,85.90176391601562,78.74272918701172,81.64836120605469,164445823,BSV-USD
2024-02-28,81.64358520507812,85.58411407470703,79.12628173828125,82.93213653564453,165203799,BSV-USD
