ds,yhat,yhat_lower,yhat_upper
2023-12-06,41193.75717084076,38148.44280053327,44051.126362984396
2023-12-07,41181.3866751066,38185.301074775794,44190.804636195455
2023-12-08,41204.01608696982,38380.97748215183,44277.476573251166
2023-12-09,41320.70460867397,38526.3307129374,44315.16084372228
2023-12-10,41519.64415421739,38565.24303246476,44312.869887502035
2023-12-11,41913.35882714971,38967.22599776168,44725.30155652343
2023-12-12,42201.9668913109,39383.062376816684,45345.194708742434
2023-12-13,42111.653618096134,39176.02045435689,45078.62168869069
2023-12-14,41676.27491943713,38644.56737721846,44517.8667825622
2023-12-15,41275.89612837625,38601.28498136519,44353.57194226482
2023-12-16,40969.576447155785,37859.54645629833,43859.13926035825
2023-12-17,40745.50778977421,38084.00179562455,43506.82472231591
2023-12-18,40716.21425978259,37756.225500809516,43478.33203102369
2023-12-19,40581.81412101907,37692.59804835511,43438.66823064501
2023-12-20,40491.50084780426,37629.208340384335,43471.62546012689
2023-12-21,40056.122149145085,37076.39402202474,43034.0405587228
2023-12-22,39655.743358084415,36418.69434053984,42793.79895981883
2023-12-23,39349.4236768636,36230.32226708944,42113.544819601695
2023-12-24,39125.35501948228,36183.619727282865,42057.465805641186
2023-12-25,39561.684720595316,36663.38964506304,42600.83921466577
2023-12-26,39892.9078129365,37045.097321008616,42761.661993221845
2023-12-27,40268.21777082616,37484.150214397574,43291.37194821562
2023-12-28,40298.462303272434,37473.4794108919,43134.79687131587
2023-12-29,40363.70674331518,37504.32682066101,43245.78612581119
2023-12-30,40523.01029319983,37570.49122409955,43575.81377157005
2023-12-31,40764.56486692304,37786.99381464078,43617.25175919414
2024-01-01,41200.89456803599,38051.565726350076,44018.76239309812
2024-01-02,41532.11766037651,38755.09199505262,44541.34994274214
2024-01-03,41907.42761826675,39112.08123720252,44571.87246510676
2024-01-04,41937.672150712846,38996.90308231754,44842.646351887626
2024-01-05,42002.916590755834,39173.28211137672,44559.38589104442
2024-01-06,42162.22014064011,39370.72042147809,45111.68382714419
2024-01-07,42403.774714363564,39608.735936206765,45337.631999676254
2024-01-08,42840.10441547594,39819.52066079627,45693.9609235408
2024-01-09,43171.327507817135,40227.17811106727,46227.436337862906
2024-01-10,43546.637465707034,40610.846760715445,46705.03265668679
2024-01-11,43576.881998152996,40539.83364352617,46738.18202547067
2024-01-12,43642.12643819645,40834.814404201665,46732.23787412574
2024-01-13,43801.42998808068,40844.4882804743,46695.258149422356
2024-01-14,44042.98456180429,41272.66976044878,46904.005558979574
2024-01-15,44479.314262916574,41496.874181763626,47440.667127904395
2024-01-16,44810.53735525774,41862.850862038904,47706.31176656881
2024-01-17,45185.8473131476,42157.27680533042,48281.26370967103
2024-01-18,45216.091845593386,42157.81326613482,48062.19327751871
2024-01-19,45281.33628563705,42413.161413930415,48159.23507505988
2024-01-20,45440.639835521244,42583.94708115486,48426.06050153568
2024-01-21,45682.194409244585,42964.60431284362,48804.948983238864
2024-01-22,46118.52411035723,42902.06416831757,48976.49005692918
2024-01-23,46449.747202698345,43573.12645468122,49327.085203684415
